,Country,Life Expectancy,GDP Per Capita,CO2 Emissions Per Capita,Label
0,Afghanistan,64.49,524.16,0.26,1
1,Albania,78.93,5284.38,1.61,1
2,Algeria,76.79,4153.86,3.73,1
3,Andorra,82.9,39896.36,5.83,0
4,Angola,61.15,3432.39,1.06,1
5,Argentina,76.97,11683.95,4.66,1
6,Armenia,75.09,4435.45,1.96,1
7,Australia,82.8,57307.29,15.12,0
8,Austria,81.84,52229.68,8.62,0
9,Azerbaijan,73.05,4103.74,3.49,1
10,Bahrain,77.29,23439.53,23.56,1
11,Bangladesh,73.15,1290.58,0.51,1
12,Belarus,73.14,6155.61,6.61,1
13,Belgium,81.53,49028.06,8.29,0
14,Belize,73.51,4974.62,2.15,1
15,Benin,61.34,814.03,0.48,1
16,Bhutan,71.84,2961.36,2.65,1
17,Bolivia,71.51,3427.12,1.71,1
18,Bosnia and Herzegovina,77.49,5442.87,5.01,1
19,Botswana,68.82,7923.94,2.18,1
20,Brazil,73.88,7507.2,2.1,1
21,Brunei,76.76,73163.29,20.96,0
22,Bulgaria,75.38,8160.94,5.79,1
23,Burkina Faso,61.56,625.96,0.21,1
24,Burundi,61.46,307.95,0.05,1
25,Cambodia,69.82,1316.02,0.83,1
26,Cameroon,59.49,1452.69,0.39,1
27,Canada,81.94,46203.42,15.34,0
28,Cape Verde,73.72,3651.83,1.38,1
29,Central African Republic,53.28,399.68,0.13,1
30,Chad,53.98,732.23,0.07,1
31,Chile,80.18,15746.51,4.81,1
32,China,76.92,10216.07,7.54,1
33,Colombia,76.14,6472.62,1.74,1
34,Comoros,61.29,1132.25,0.29,1
35,Costa Rica,80.87,12590.96,2.86,1
36,Croatia,78.18,14818.24,4.71,1
37,Cuba,78.8,8538.62,3.97,1
38,Cyprus,80.98,39482.86,6.65,0
39,Czech Republic,79.12,23052.59,10.59,1
40,Denmark,81.07,60249.11,5.97,0
41,Djibouti,66.14,1795.41,0.93,1
42,Dominica,76.78,9667.41,2.49,1
43,Dominican Republic,74.96,8302.18,2.37,1
44,Ecuador,76.67,6139.02,2.35,1
45,Egypt,71.92,3115.72,2.72,1
46,El Salvador,74.8,4321.68,2.01,1
47,Equatorial Guinea,59.15,7703.95,4.16,1
48,Eritrea,66.32,406.79,0.16,1
49,Estonia,79.71,22622.77,14.16,1
50,Eswatini,60.75,3993.66,2.32,1
51,Ethiopia,66.6,893.11,0.26,1
52,Fiji,67.95,5285.48,1.81,1
53,Finland,81.62,50152.33,8.23,0
54,France,82.49,44935.32,4.91,0
55,Gabon,66.18,9452.06,4.42,1
56,Gambia,62.53,834.55,0.34,1
57,Georgia,74.84,4394.38,2.54,1
58,Germany,81.17,48618.18,8.92,0
59,Ghana,65.15,2206.29,0.59,1
60,Greece,82.18,20009.26,6.88,1
61,Grenada,74.67,11788.47,4.15,1
62,Guatemala,73.4,4542.66,1.47,1
63,Guinea,61.65,981.75,0.19,1
64,Guinea-Bissau,58.68,678.79,0.23,1
65,Guyana,69.29,4536.4,3.47,1
66,Haiti,64.5,780.99,0.23,1
67,Honduras,75.63,2599.72,0.96,1
68,Hungary,76.25,16797.72,5.9,1
69,Iceland,83.07,68643.84,5.64,0
70,India,69.42,2019.36,1.85,1
71,Indonesia,72.67,4092.89,2.29,1
72,Iraq,69.26,4925.44,4.73,1
73,Ireland,82.31,87556.79,7.79,0
74,Israel,82.81,43688.72,10.02,0
75,Italy,83.08,39627.74,5.86,0
76,Jamaica,74.87,4747.77,3.89,1
77,Japan,84.6,40849.68,9.97,0
78,Jordan,74.73,4426.46,2.64,1
79,Kazakhstan,73.6,9994.56,15.45,1
80,Kenya,66.56,1734.49,0.34,1
81,Kiribati,67.99,2030.86,0.38,1
82,Kuwait,75.47,64792.59,25.65,0
83,Kyrgyzstan,71.44,1477.05,1.36,1
84,Lao People's Democratic Republic,67.66,2476.72,0.68,1
85,Latvia,75.91,16814.36,4.41,1
86,Lebanon,78.65,11946.2,4.26,1
87,Lesotho,53.91,1271.41,0.78,1
88,Liberia,64.11,660.58,0.22,1
89,Libya,71.37,5263.99,5.03,1
90,Liechtenstein,82.63,190637.97,4.37,2
91,Lithuania,75.54,17837.26,5.89,1
92,Luxembourg,82.03,115134.84,17.36,0
93,Madagascar,67.55,486.39,0.23,1
94,Malawi,63.32,390.55,0.15,1
95,Malaysia,76.96,12261.03,8.58,1
96,Maldives,80.08,11645.65,2.37,1
97,Mali,61.1,840.7,0.12,1
98,Malta,82.12,47117.03,4.78,0
99,Marshall Islands,73.35,3919.96,3.92,1
100,Mauritania,64.97,3075.12,1.29,1
101,Mauritius,74.7,11623.46,3.62,1
102,Mexico,70.86,10045.7,3.6,1
103,Moldova,73.36,2490.64,2.16,1
104,Monaco,86.16,185051.97,3.17,2
105,Mongolia,70.43,4674.7,5.57,1
106,Montenegro,77.05,9969.12,3.25,1
107,Morocco,75.42,3342.86,1.73,1
108,Mozambique,59.79,502.41,0.32,1
109,Myanmar,67.29,1380.54,0.64,1
110,Namibia,65.79,5057.42,4.47,1
111,Nauru,72.77,11750.12,7.25,1
112,Nepal,70.78,1025.01,0.26,1
113,Netherlands,82.78,55698.62,9.84,0
114,New Zealand,82.47,43064.68,7.33,0
115,Nicaragua,74.39,2165.03,0.79,1
116,Niger,62.27,362.25,0.11,1
117,Nigeria,54.05,2140.73,0.53,1
118,North Macedonia,75.75,6281.79,4.1,1
119,Norway,82.99,81872.37,8.34,0
120,Oman,78.08,17062.26,16.78,1
121,Pakistan,67.67,1361.61,0.98,1
122,Palau,73.68,16638.73,9.08,1
123,Panama,78.34,18676.77,3.89,1
124,Papua New Guinea,63.78,2792.24,0.46,1
125,Paraguay,74.23,4534.79,1.45,1
126,Peru,76.27,6602.47,1.92,1
127,Philippines,71.23,3590.85,1.77,1
128,Poland,77.53,15717.73,8.81,1
129,Portugal,81.95,26821.68,6.77,1
130,Qatar,80.92,96467.56,41.92,0
131,Romania,75.77,12457.13,4.94,1
132,Russia,69.58,12194.8,11.8,1
133,Rwanda,69.05,793.12,0.11,1
134,Saint Kitts and Nevis,76.94,29748.64,5.52,1
135,Saint Lucia,76.54,11335.25,2.75,1
136,Saint Vincent and the Grenadines,72.53,7663.38,2.21,1
137,Samoa,73.15,4319.8,1.59,1
138,San Marino,84.97,62577.41,4.86,0
139,Sao Tome and Principe,70.37,2155.68,0.58,1
140,Saudi Arabia,75.34,24844.38,17.57,1
141,Senegal,67.98,1250.08,0.57,1
142,Serbia,75.76,7417.55,4.78,1
143,Seychelles,74.77,29074.47,8.1,1
144,Sierra Leone,54.73,493.78,0.18,1
145,Singapore,85.27,85269.76,8.72,0
146,Slovakia,77.08,19708.26,5.58,1
147,Slovenia,81.14,30510.98,7.16,1
148,Solomon Islands,73.14,2229.22,0.71,1
149,Somalia,57.7,226.73,0.05,1
150,South Africa,63.7,7577.96,6.65,1
151,South Sudan,58.56,412.84,0.37,1
152,Spain,83.37,38926.63,5.6,0
153,Sri Lanka,77.02,4198.77,0.92,1
154,Sudan,65.12,1369.06,0.22,1
155,Suriname,70.71,7008.49,3.64,1
156,Sweden,82.46,53612.55,4.75,0
157,Switzerland,83.57,81993.94,4.81,0
158,Syrian Arab Republic,74.13,2302.13,1.89,1
159,Tajikistan,71.5,968.61,0.74,1
160,Tanzania,66.37,1122.07,0.2,1
161,Thailand,76.92,7506.96,3.28,1
162,Timor-Leste,69.16,1658.94,0.47,1
163,Togo,61.04,671.91,0.37,1
164,Tonga,70.71,4423.1,1.68,1
165,Trinidad and Tobago,73.61,17336.49,39.74,1
166,Tunisia,76.47,4269.11,2.48,1
167,Turkey,77.6,10898.41,4.45,1
168,Turkmenistan,70.2,7506.63,12.47,1
169,Tuvalu,66.92,4186.14,1.21,1
170,Uganda,63.35,721.37,0.12,1
171,Ukraine,71.55,3763.24,5.06,1
172,United Arab Emirates,77.97,70413.12,22.18,0
173,United Kingdom,81.32,42330.26,5.75,0
174,United States,79.14,63051.4,15.74,0
175,Uruguay,77.99,16994.95,1.81,1
176,Uzbekistan,72.34,1929.94,2.52,1
177,Vanuatu,70.57,3274.65,0.71,1
178,Venezuela,71.91,2449.34,5.33,1
179,Vietnam,75.47,2795.81,2.67,1
180,Yemen,66.42,1159.08,0.94,1
181,Zambia,63.89,1298.85,0.29,1
182,Zimbabwe,61.49,1094.88,0.79,1
